"ST","NAICS","Total_RCPTOT","Total_ESTAB","Year"
42,"237",129816,1329,2011
42,"2371",2481,75,2011
42,"2372",74259,384,2011
42,"23721",74259,384,2011
42,"2373",6644,113,2011
42,"23731",6644,113,2011
42,"2379",27131,426,2011
42,"23799",27131,426,2011
42,"238",3409308,69334,2011
42,"2381",560054,10047,2011
42,"2382",645844,12136,2011
42,"23821",256810,5816,2011
42,"23822",349755,5582,2011
42,"23829",34015,617,2011
42,"2383",1098883,25780,2011
42,"2389",1103884,21352,2011
42,"484",1535699,14268,2011
42,"4841",1419605,12892,2011
42,"48411",449092,5091,2011
42,"4842",113185,1331,2011
42,"4853",186026,5133,2011
17,"23",4369757,90342,2012
17,"236",1827507,30620,2012
17,"2361",1646657,27826,2012
17,"237",92560,1087,2012
17,"2372",49737,291,2012
17,"23721",49737,291,2012
17,"2373",7293,163,2012
17,"23731",7293,163,2012
17,"2379",18885,335,2012
17,"23799",18885,335,2012
17,"238",2437782,58501,2012
17,"2381",360012,8026,2012
17,"2382",500695,10852,2012
17,"23821",195758,4851,2012
17,"23822",262688,5193,2012
17,"23829",23947,485,2012
17,"2383",844630,23433,2012
17,"2389",726782,15995,2012
17,"484",2801036,33246,2012
17,"4841",2691559,31626,2012
17,"48411",644472,8730,2012
17,"4842",99662,1469,2012
17,"4853",536683,16761,2012
17,"2371",3628,95,2012
30,"23",615714,11792,2012
30,"236",258038,3861,2012
30,"2361",233618,3483,2012
30,"237",22335,292,2012
30,"2372",6857,55,2012
30,"23721",6857,55,2012
30,"2379",5767,99,2012
30,"23799",5767,99,2012
30,"238",331314,7585,2012
30,"2381",49109,1066,2012
30,"2382",44764,830,2012
30,"23821",15326,354,2012
30,"23822",20349,316,2012
30,"23829",2465,52,2012
30,"2383",104037,2729,2012
30,"2389",126656,2752,2012
30,"484",217556,1843,2012
30,"4841",193272,1609,2012
30,"48411",42293,531,2012
30,"4842",15311,162,2012
30,"2371",927,10,2012
30,"2373",149,9,2012
30,"23731",149,9,2012
30,"4853",211,10,2012
39,"23",4508357,88675,2012
39,"236",1393550,21463,2012
39,"2361",1169393,18374,2012
39,"237",116202,1387,2012
39,"2371",8549,140,2012
39,"2372",52642,337,2012
39,"23721",52642,337,2012
39,"2373",3122,61,2012
39,"23731",3122,61,2012
39,"2379",25102,368,2012
39,"23799",25102,368,2012
39,"238",2993458,65774,2012
39,"2381",642602,12354,2012
39,"2382",443279,9546,2012
39,"23821",147217,3989,2012
39,"23822",252055,4652,2012
39,"23829",31151,577,2012
39,"2383",962263,24968,2012
39,"2389",943256,18859,2012
39,"484",1938611,19922,2012
39,"4841",1809016,18077,2012
39,"48411",483368,5851,2012
39,"4842",125299,1776,2012
39,"4853",64409,2827,2012
42,"23",5254118,91156,2012
42,"236",1666372,22248,2012
42,"2361",1457538,19758,2012
42,"237",132133,1301,2012
